SMILES,Name,pIC50,IC50,mol,mw,logp,hbd,hba,max_ring_size,ro5_ok
COc1ccc(cn1)c2cc(cnc2N)c3ccc(cc3)S(=O)(=O)C,CHEMBL531475,5.49,3.235936569296281,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5230>,355.09906240399994,2.804900000000001,2,6,6,True
CS(=O)(=O)c1ccc(cc1)c2cc(c(nc2)N)c3ccc(nc3)C(F)(F)F,CHEMBL2041980,5.33,4.677351412871982,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f52a0>,393.07588234800005,3.815100000000002,2,5,6,True
CC(C)(C)Oc1cccc2c1c(nc(n2)N)N,CHEMBL2042321,4.7,19.952623149688787,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5310>,232.132411132,1.9714999999999998,4,5,6,True
CC(C)COc1cccc(c1N2CCCC(C2)N)C=C3C(=O)NC(=O)S3,CHEMBL2048870,4.64,22.90867652767775,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5380>,375.16166265999993,2.9728000000000003,3,6,6,True
c1ccc(cc1)CCNCCC(c2ccccc2)c3ccccc3,CHEMBL2046888,5.525,2.9853826189179573,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f53f0>,315.1986998,5.040900000000004,1,1,6,False
c1ccc(cc1)CCCNCCC(c2ccccc2)c3ccccc3,CHEMBL2046889,7.785,0.016405897731995387,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5460>,329.214349864,5.431000000000005,1,1,6,False
c1ccc(cc1)CCNCCN(c2ccccc2)c3ccccc3,CHEMBL2046890,7.205,0.062373483548241924,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f54d0>,316.193948768,4.657000000000004,1,2,6,True
c1ccc(cc1)CCCNCCN(c2ccccc2)c3ccccc3,CHEMBL2046891,6.22,0.6025595860743581,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5540>,330.209598832,5.047100000000005,1,2,6,False
c1ccc(cc1)CCNCCN(c2ccc(cc2)F)c3ccc(cc3)F,CHEMBL2046892,7.38,0.04168693834703355,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f55b0>,352.175105144,4.935200000000004,1,2,6,True
c1ccc(cc1)CCCNCCN(c2ccc(cc2)F)c3ccc(cc3)F,CHEMBL2046893,8.61,0.0024547089156850338,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5620>,366.190755208,5.325300000000005,1,2,6,False
c1ccc(cc1)CC(=O)NCCN(c2ccccc2)c3ccccc3,CHEMBL2046894,5.105,7.852356346100711,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5690>,330.17321332399996,4.183600000000003,1,3,6,True
c1ccc(cc1)CCC(=O)NCCN(c2ccc(cc2)F)c3ccc(cc3)F,CHEMBL2046895,6.71,0.19498445997580455,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5700>,380.17001976399996,4.851900000000004,1,3,6,True
c1ccc2c(c1)N(C(=O)CO2)CCCN3CCC(CC3)n4c5ccc(cc5[nH]c4=O)F,CHEMBL2059323,5.72,1.9054607179632483,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5770>,424.19106888000005,2.9213000000000005,1,7,6,True
c1ccc(cc1)OCCN2CCC(CC2)n3c4ccccc4[nH]c3=O,CHEMBL2059304,5.68,2.0892961308540405,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f57e0>,337.179026976,3.0455000000000005,1,5,6,True
c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)CCCN4c5ccc(cc5CCC4=O)F,CHEMBL2059318,5.47,3.388441561392028,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5850>,422.211804324,3.475100000000002,1,6,6,True
c1ccc2c(c1)N(C(=O)CO2)CCCN3CCC(CC3)n4c5cccc(c5[nH]c4=O)F,CHEMBL2059324,5.47,3.388441561392028,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f58c0>,424.19106888000005,2.9213000000000005,1,7,6,True
c1ccc2c(c1)CCC(=O)N2CCCN3CCC(CC3)c4ccc5c(c4)cc[nH]5,CHEMBL2059305,5.36,4.365158322401657,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5930>,387.231062548,4.716800000000004,1,4,6,True
c1ccc2c(c1)N(C(=O)CO2)CCCN3CCC(CC3)n4c5cc(ccc5[nH]c4=O)F,CHEMBL2059322,5.36,4.365158322401657,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f59a0>,424.19106888000005,2.9213000000000005,1,7,6,True
c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)CCCN4c5cccc(c5CCC4=O)F,CHEMBL2059317,5.28,5.248074602497724,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5a10>,422.211804324,3.475100000000002,1,6,6,True
c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)CCCN4c5cc(ccc5CCC4=O)F,CHEMBL2059319,5.24,5.754399373371567,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5a80>,422.211804324,3.475100000000002,1,6,6,True
c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)CCCN4c5c(cccn5)CCC4=O,CHEMBL2059310,5.2,6.30957344480193,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5af0>,405.21647510400004,2.7310000000000008,1,7,6,True
c1ccc2c(c1)N(C(=O)CO2)CCCN3CCC(CC3)n4c5c(cccc5F)[nH]c4=O,CHEMBL2059321,5.2,6.30957344480193,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5b60>,424.19106888000005,2.9213000000000005,1,7,6,True
c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)CCCN4c5ccccc5OCC4=O,CHEMBL2059311,5.18,6.606934480075965,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5bd0>,406.20049069199996,2.7822000000000005,1,7,6,True
c1ccc2c(c1)CCC(=O)N2CCCN3CCC(CC3)n4c5ccccc5[nH]c4=O,CHEMBL2059306,5.14,7.244359600749906,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5c40>,404.221226136,3.336000000000002,1,6,6,True
c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)CCCN4c5c(cccc5F)CCC4=O,CHEMBL2059320,5.1,7.943282347242822,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5cb0>,422.211804324,3.475100000000002,1,6,6,True
c1ccc2c(c1)CCC(=O)N2OCCN3CCC(CC3)n4c5ccccc5[nH]c4=O,CHEMBL2059312,5.03,9.332543007969907,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5d20>,406.200490692,2.8775000000000004,1,7,6,True
c1ccc2c(c1)N(C(=O)CO2)CCCN3CCC(CC3)n4c5c(cccn5)[nH]c4=O,CHEMBL2059313,4.89,12.88249551693135,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5d90>,407.1957396600001,2.1772,1,8,6,True
c1ccc(cc1)CC(=O)NC2CCN(CC2)CCCN3c4ccccc4OCC3=O,CHEMBL1242923,4.7,19.952623149688787,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5e00>,407.22089178799996,2.625400000000001,1,6,6,True
c1ccc2c(c1)N(C(=O)CO2)CCCN3CCC(CC3)n4c5cccnc5[nH]c4=O,CHEMBL2059316,4.66,21.87761623949552,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5e70>,407.1957396600001,2.1772,1,8,6,True
c1ccc2c(c1)N(C(=O)CO2)CCCN3CCC(CC3)n4c5ccncc5[nH]c4=O,CHEMBL2059315,4.34,45.708818961487516,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5ee0>,407.1957396600001,2.1772,1,8,6,True
CC1(c2nc(c(n2CCN1C(=O)C(C)(C)N)Nc3ccc(cc3)F)c4ccc(cc4)F)C,CHEMBL2058837,4.66,21.87761623949552,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5f50>,439.218366924,4.3865000000000025,3,6,6,True
CC1(c2nc(c(n2CCN1C(=O)CN)Nc3ccc(cc3)F)c4ccc(cc4)F)C,CHEMBL2058833,4.87,13.489628825916533,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f5fc0>,411.187066796,3.6079000000000017,3,6,6,True
CC(C)C1c2nc(c(n2CCN1C(=O)CN)Nc3ccc(c(c3)Cl)F)c4ccc(cc4)F,CHEMBL2058831,4.87,13.489628825916533,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6030>,459.163744508,4.723300000000004,3,6,6,True
CC(=O)Nc1ccc2ccn(c2c1)c3cc(n4c(n3)c(cn4)C#N)NC5CC5,CHEMBL2062563,5.07,8.511380382023761,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f60a0>,371.1494581640001,3.077580000000001,2,8,6,True
c1cc(cc(c1)Cl)c2nc(on2)C3CC(=O)N(C3)c4ccc(cc4)F,CHEMBL2069397,5.46,3.467368504525317,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6110>,357.06803255600005,4.049600000000002,0,5,6,True
Cc1cccc(c1)c2nc(on2)C3CC(=O)N(C3)c4ccc(cc4)F,CHEMBL2069398,5.16,6.918309709189363,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6180>,337.12265497199996,3.704620000000003,0,5,6,True
CCCCOc1ccc(cc1)C(=O)NC2Cc3c(cccc3OC2)N4CCN(CC4)C,CHEMBL2069399,5.2,6.30957344480193,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f61f0>,423.2521919160001,3.350800000000002,1,6,6,True
CN1CCN(CC1)c2cccc3c2CC(CO3)NC(=O)c4ccc(cc4)OC(F)(F)F,CHEMBL2069400,5.1,7.943282347242822,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6260>,435.17697628799993,3.0705,1,6,6,True
CN1CCN(CC1)c2cccc3c2CC(CO3)NC(=O)c4ccc(nc4)OCC(F)(F)F,CHEMBL2069401,5.1,7.943282347242822,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f62d0>,450.18787532,2.507999999999999,1,7,6,True
CN1CCN(CC1)c2cccc3c2CC(CO3)NC(=O)c4ccc(nc4)OCCC(F)(F)F,CHEMBL2069402,4.9,12.589254117941662,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6340>,464.203525384,2.8981000000000003,1,7,6,True
Cc1c(nn(n1)c2ccccc2)C(=O)NC3Cc4c(cccc4OC3)N5CCN(CC5)C,CHEMBL2069403,5.1,7.943282347242822,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f63b0>,432.22737413600004,2.06102,1,8,6,True
Cc1ccc(c(c1)C)n2nc(c(n2)C(=O)NC3Cc4c(cccc4OC3)N5CCN(CC5)C)C,CHEMBL2069404,5.0,10.000000000000002,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6420>,460.25867426400004,2.677860000000001,1,8,6,True
c1cc(c2c(c1)OCC(C2)NC(=O)c3ccc(cc3)OC(F)(F)F)c4ccncc4,CHEMBL2069407,5.6,2.5118864315095824,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6490>,414.11912706400005,4.380700000000004,1,5,6,True
c1cc(c2c(c1)OCC(C2)NC(=O)c3ccc(nc3)OCC(F)(F)F)c4cccnc4,CHEMBL2069408,4.6,25.118864315095824,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6500>,429.13002609600005,3.818200000000002,1,6,6,True
c1cc(c2c(c1)OCC(C2)NC(=O)c3ccc(nc3)OCC(F)(F)F)c4ccncc4,CHEMBL2069409,5.2,6.30957344480193,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6570>,429.13002609600005,3.818200000000002,1,6,6,True
COc1c(cc(cn1)c2cccc3c2CC(CO3)NC(=O)c4ccc(nc4)OCC(F)(F)F)F,CHEMBL2069410,4.6,25.118864315095824,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f65e0>,477.131168968,3.965900000000002,1,7,6,True
c1cc(c2c(c1)OCC(C2)NC(=O)c3ccc(nc3)OCC(F)(F)F)c4ccc(nc4)CO,CHEMBL2069411,5.0,10.000000000000002,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6650>,459.14059078,3.3105000000000016,2,7,6,True
c1cc(c2c(c1)OCC(C2)NC(=O)c3ccc(nc3)OCC(F)(F)F)c4ccnc(c4)CO,CHEMBL2069412,4.8,15.848931924611142,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f66c0>,459.14059078,3.3105000000000016,2,7,6,True
Cc1c(nn(n1)c2ccccc2)C(=O)NC3Cc4c(cccc4OC3)c5ccncc5,CHEMBL2069416,5.4,3.981071705534969,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6730>,411.16952491200004,3.371220000000002,1,7,6,True
c1cc(c2c(c1)OCC(C2)NC(=O)c3ccc(nc3)OCCC(F)(F)F)c4cncnc4,CHEMBL2069420,5.2,6.30957344480193,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f67a0>,444.1409251280001,3.6033000000000017,1,7,6,True
